index,order_id,item_id,product_id,quantity,list_price,discount
0,1,1,20,1,599.99,0.2
1,1,2,8,2,1799.99,0.07
2,1,3,10,2,1549,0.05
3,1,4,16,2,599.99,0.05
4,1,5,4,1,2899.99,0.2
5,2,1,20,1,599.99,0.07
6,2,2,16,2,599.99,0.05
7,3,1,3,1,999.99,0.05
8,3,2,20,1,599.99,0.05
9,4,1,2,2,749.99,0.1
10,5,1,10,2,1549,0.05
11,5,2,17,1,429,0.07
12,5,3,26,1,599.99,0.07
13,6,1,18,1,449,0.07
14,6,2,12,2,549.99,0.05
15,6,3,20,1,599.99,0.1
16,6,4,3,2,999.99,0.07
17,6,5,9,2,2999.99,0.07
18,7,1,15,1,529.99,0.07
19,7,2,3,1,999.99,0.1
20,7,3,17,2,429,0.1
21,8,1,22,1,269.99,0.05
22,8,2,20,2,599.99,0.07
23,9,1,7,2,3999.99,0.1
24,10,1,14,1,269.99,0.1
25,11,1,8,1,1799.99,0.05
26,11,2,22,2,269.99,0.1
27,11,3,16,2,599.99,0.2
28,12,1,4,2,2899.99,0.1
29,12,2,11,1,1680.99,0.05
30,13,1,13,1,269.99,0.1
31,13,2,17,2,429,0.05
32,13,3,20,2,599.99,0.1
33,13,4,16,2,599.99,0.05
34,14,1,6,1,469.99,0.07
35,15,1,12,2,549.99,0.07
36,15,2,8,1,1799.99,0.07
37,15,3,18,2,449,0.05
38,15,4,23,2,299.99,0.2
39,16,1,8,1,1799.99,0.2
40,16,2,21,1,269.99,0.05
41,16,3,13,2,269.99,0.07
42,16,4,14,1,269.99,0.07
43,17,1,8,1,1799.99,0.07
44,17,2,23,1,299.99,0.1
45,17,3,5,1,1320.99,0.1
46,17,4,20,2,599.99,0.2
47,18,1,2,2,749.99,0.2
48,18,2,22,1,269.99,0.05
49,18,3,7,1,3999.99,0.1
50,18,4,25,2,499.99,0.05
51,18,5,9,2,2999.99,0.1
52,19,1,10,1,1549,0.07
53,19,2,9,2,2999.99,0.2
54,20,1,9,1,2999.99,0.07
55,20,2,10,2,1549,0.07
56,21,1,14,1,269.99,0.05
57,21,2,17,1,429,0.1
58,21,3,10,1,1549,0.07
